                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                0.89965,                0.49028,                0.95641,                0.98246,                0.92307,                0.97789,                0.70998,                0.98501,                0.45977,                 1.0059,              0.0094753,              0.0094753,              0.0094753
                    109,                0.88992,                0.48035,                0.94618,                 0.9559,                0.94689,                0.97815,                0.69108,                 1.0247,                 0.4648,                 1.0175,              0.0094704,              0.0094704,              0.0094704
                    110,                0.91071,                0.47941,                0.95163,                0.96657,                 0.9359,                 0.9792,                0.70124,                 1.0421,                0.47302,                 1.0225,              0.0094654,              0.0094654,              0.0094654
                    111,                 0.8926,                0.47384,                0.94344,                0.97714,                0.93949,                0.97816,                0.68315,                 1.0263,                0.49578,                 1.0094,              0.0094605,              0.0094605,              0.0094605
                    112,                0.90725,                0.48057,                0.95129,                0.96347,                0.94689,                0.98603,                0.69828,                 1.0434,                0.46091,                 1.0352,              0.0094555,              0.0094555,              0.0094555
                    113,                  0.901,                0.47065,                0.95857,                0.98134,                0.94322,                0.98594,                0.69518,                 1.0309,                0.45918,                 1.0189,              0.0094506,              0.0094506,              0.0094506
                    114,                0.90004,                0.46128,                0.94737,                0.97515,                0.93438,                0.97855,                 0.7081,                0.99332,                0.46634,                0.99992,              0.0094456,              0.0094456,              0.0094456
                    115,                0.89306,                0.46867,                0.94956,                0.98063,                0.94139,                0.98403,                0.69858,                 1.0382,                0.45291,                 1.0155,              0.0094407,              0.0094407,              0.0094407
                    116,                 0.8866,                0.46666,                0.94083,                0.96746,                0.92564,                 0.9835,                0.72388,                0.99018,                0.45799,                 1.0023,              0.0094357,              0.0094357,              0.0094357
                    117,                0.88588,                0.46971,                0.93281,                0.96079,                0.93956,                 0.9818,                0.69173,                 1.0839,                0.48547,                 1.0383,              0.0094307,              0.0094307,              0.0094307
                    118,                0.90094,                0.47229,                0.94641,                0.94819,                0.93956,                0.97832,                0.69056,                 1.0826,                 0.4944,                 1.0338,              0.0094258,              0.0094258,              0.0094258
                    119,                0.89567,                0.47501,                0.95157,                0.95638,                 0.9304,                0.97832,                 0.6974,                 1.0586,                0.47274,                 1.0324,              0.0094208,              0.0094208,              0.0094208
                    120,                0.89195,                0.47343,                0.94089,                0.95275,                0.92857,                0.97833,                0.68625,                  1.077,                0.48475,                  1.033,              0.0094159,              0.0094159,              0.0094159
                    121,                0.89062,                0.47336,                0.93791,                0.95662,                0.94139,                0.98117,                0.69657,                 1.0276,                0.46864,                 1.0253,              0.0094109,              0.0094109,              0.0094109
                    122,                0.87607,                0.46337,                0.94269,                0.97984,                0.93773,                0.98022,                0.70996,                 1.0079,                0.45163,                 1.0154,               0.009406,               0.009406,               0.009406
                    123,                0.88868,                0.46044,                0.93748,                0.96042,                 0.9359,                  0.981,                0.69942,                 1.0192,                0.47485,                 1.0243,               0.009401,               0.009401,               0.009401
                    124,                0.87209,                0.46304,                0.94088,                0.97641,                0.93956,                 0.9872,                 0.7133,                0.98074,                0.45334,                 1.0066,              0.0093961,              0.0093961,              0.0093961
                    125,                0.87295,                0.45622,                0.94151,                0.96075,                0.94139,                0.98011,                0.69273,                 1.0647,                0.47555,                 1.0277,              0.0093912,              0.0093912,              0.0093912
