                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.0616,                0.59755,                0.96484,                0.94782,                0.93155,                 0.9657,                0.66038,                 1.0915,                0.58912,                0.98833,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.0487,                0.58189,                0.95448,                0.96092,                0.94577,                0.97586,                0.65605,                 1.1116,                0.56812,                 1.0025,              0.0091684,              0.0091684,              0.0091684
                     87,                 1.0322,                 0.5786,                 0.9597,                0.97499,                0.93956,                 0.9793,                0.66647,                 1.0734,                0.54525,                0.98386,              0.0091585,              0.0091585,              0.0091585
                     88,                 1.0383,                0.57483,                0.95152,                0.94378,                0.92241,                0.96825,                0.66686,                 1.1125,                0.56303,                0.99686,              0.0091486,              0.0091486,              0.0091486
                     89,                 1.0402,                0.57917,                0.96552,                0.96988,                0.92674,                0.97615,                0.65942,                 1.0895,                0.54709,                0.98278,              0.0091387,              0.0091387,              0.0091387
                     90,                 1.0525,                0.58545,                0.96808,                0.94945,                0.92885,                 0.9753,                 0.6547,                 1.1329,                0.57007,                 1.0064,              0.0091288,              0.0091288,              0.0091288
                     91,                 1.0376,                0.57944,                0.95734,                0.96122,                0.92491,                0.97587,                0.65174,                 1.1583,                0.55748,                 1.0258,              0.0091189,              0.0091189,              0.0091189
                     92,                 1.0379,                0.57831,                0.95175,                 0.9359,                0.92857,                 0.9721,                 0.6542,                 1.1127,                0.54873,                 1.0053,               0.009109,               0.009109,               0.009109
                     93,                 1.0534,                 0.5818,                0.96169,                 0.9482,                 0.9388,                 0.9756,                0.65708,                 1.1106,                 0.5542,                0.99745,              0.0090991,              0.0090991,              0.0090991
                     94,                 1.0363,                0.57696,                0.95378,                0.93891,                0.91941,                0.96741,                0.63129,                 1.1697,                0.57755,                 1.0195,              0.0090892,              0.0090892,              0.0090892
                     95,                 1.0323,                0.57809,                0.95096,                0.94569,                0.92482,                 0.9802,                0.65918,                  1.123,                0.56124,                 1.0095,              0.0090793,              0.0090793,              0.0090793
                     96,                 1.0263,                0.57106,                 0.9573,                0.94569,                0.91575,                0.97456,                0.65706,                  1.128,                0.55463,                 1.0159,              0.0090694,              0.0090694,              0.0090694
                     97,                 1.0477,                0.58545,                0.96151,                0.97687,                0.92833,                0.98215,                0.68636,                 1.0588,                0.53335,                0.98044,              0.0090595,              0.0090595,              0.0090595
                     98,                0.99978,                0.56361,                0.94605,                0.95705,                 0.9359,                0.97495,                0.67932,                 1.0612,                0.52843,                0.97349,              0.0090496,              0.0090496,              0.0090496
                     99,                 1.0016,                0.56458,                0.94622,                0.93702,                0.93407,                0.97393,                0.66512,                 1.1243,                0.54284,                  1.004,              0.0090397,              0.0090397,              0.0090397
                    100,                 1.0326,                0.56931,                0.95111,                0.92863,                0.92674,                0.97093,                0.66174,                 1.1114,                0.54328,                0.99395,              0.0090298,              0.0090298,              0.0090298
                    101,                 1.0249,                0.55967,                 0.9482,                0.94809,                0.93956,                0.97641,                0.67097,                  1.067,                0.52912,                0.97951,              0.0090199,              0.0090199,              0.0090199
                    102,                 1.0141,                0.55866,                0.94725,                0.94031,                0.95208,                0.97873,                0.68061,                 1.0622,                0.52944,                0.97798,                0.00901,                0.00901,                0.00901
                    103,                 1.0194,                0.56334,                0.94514,                0.96135,                0.91941,                0.96874,                0.66558,                  1.075,                0.54095,                 0.9887,              0.0090001,              0.0090001,              0.0090001
                    104,                 1.0043,                0.55523,                 0.9375,                0.95742,                0.93956,                0.98261,                0.66994,                 1.0884,                0.53169,                0.98621,              0.0089902,              0.0089902,              0.0089902
                    105,                 1.0002,                0.55776,                0.95148,                0.93612,                0.93933,                0.97268,                0.66768,                 1.0932,                0.55041,                 0.9902,              0.0089803,              0.0089803,              0.0089803
                    106,                 1.0277,                0.56454,                0.94318,                0.92495,                0.94807,                0.97681,                0.66405,                 1.1242,                0.55064,                0.99562,              0.0089704,              0.0089704,              0.0089704
                    107,                 1.0125,                0.56439,                0.94711,                0.94817,                0.93815,                0.97436,                0.66271,                 1.1021,                0.54551,                0.99247,              0.0089605,              0.0089605,              0.0089605
                    108,                 1.0073,                0.56186,                0.94475,                0.97131,                0.92997,                0.97881,                0.67978,                 1.0622,                0.53614,                0.97991,              0.0089506,              0.0089506,              0.0089506
                    109,                 1.0023,                0.55074,                0.94146,                0.95357,                0.92308,                0.97709,                0.65678,                 1.1067,                0.53988,                 0.9894,              0.0089407,              0.0089407,              0.0089407
                    110,                 1.0024,                0.54475,                0.93886,                0.95073,                0.91896,                0.97988,                0.63289,                 1.1657,                0.57065,                 1.0101,              0.0089308,              0.0089308,              0.0089308
                    111,                 0.9944,                0.54681,                0.93747,                0.94868,                0.92491,                0.97338,                0.65778,                 1.0961,                0.54709,                0.99029,              0.0089209,              0.0089209,              0.0089209
                    112,                0.99039,                0.55049,                 0.9343,                0.93978,                0.91464,                0.97507,                0.66108,                 1.1427,                0.54446,                 0.9972,               0.008911,               0.008911,               0.008911
                    113,                 1.0055,                0.55202,                0.94482,                0.97039,                0.93773,                0.98011,                0.67785,                 1.0854,                0.52718,                0.97356,              0.0089011,              0.0089011,              0.0089011
                    114,                0.98752,                0.53689,                0.93727,                0.96996,                0.93223,                 0.9784,                0.68772,                 1.0417,                0.51683,                0.97057,              0.0088912,              0.0088912,              0.0088912
                    115,                0.99512,                0.55078,                0.93822,                0.95372,                0.92491,                0.98045,                0.66685,                 1.0987,                0.53765,                0.98867,              0.0088813,              0.0088813,              0.0088813
                    116,                0.97997,                0.54346,                0.93476,                0.94841,                0.90842,                0.97239,                0.66437,                 1.1006,                0.52667,                0.99114,              0.0088714,              0.0088714,              0.0088714
                    117,                0.98924,                0.53696,                0.93125,                0.92581,                0.94139,                0.96917,                0.64419,                 1.1445,                0.55708,                 0.9974,              0.0088615,              0.0088615,              0.0088615
                    118,                 1.0048,                0.55145,                0.93913,                 0.9548,                 0.9286,                0.97289,                 0.6544,                  1.131,                0.54166,                0.99328,              0.0088516,              0.0088516,              0.0088516
                    119,                0.99674,                0.55075,                0.93851,                0.95749,                 0.9304,                0.97534,                0.67133,                  1.095,                0.54446,                0.98231,              0.0088417,              0.0088417,              0.0088417
                    120,                0.99973,                0.54932,                0.93479,                0.96597,                 0.9358,                0.97914,                0.67874,                 1.0881,                0.52738,                0.98222,              0.0088318,              0.0088318,              0.0088318
                    121,                0.99685,                0.54622,                0.93218,                0.96035,                0.94505,                0.98147,                 0.6849,                 1.0778,                0.51371,                0.98503,              0.0088219,              0.0088219,              0.0088219
                    122,                0.98754,                0.53802,                0.93308,                0.96281,                0.94839,                0.98319,                0.67463,                 1.0764,                0.52658,                 0.9867,               0.008812,               0.008812,               0.008812
                    123,                0.98387,                0.53312,                0.93303,                0.96538,                0.91918,                0.97786,                0.67739,                 1.0638,                0.51971,                0.96934,              0.0088021,              0.0088021,              0.0088021
                    124,                0.99036,                0.54089,                0.93901,                0.95338,                0.93625,                0.97907,                0.67224,                  1.105,                0.53627,                0.98921,              0.0087922,              0.0087922,              0.0087922
                    125,                0.96903,                0.52835,                0.93636,                0.95003,                0.94016,                0.97858,                0.68247,                 1.0779,                0.52027,                0.97488,              0.0087823,              0.0087823,              0.0087823
                    126,                 1.0078,                0.53931,                0.93574,                0.96166,                0.92491,                0.97756,                0.67369,                 1.0796,                 0.5297,                0.99007,              0.0087724,              0.0087724,              0.0087724
                    127,                 0.9629,                0.53002,                0.93698,                 0.9523,                0.93956,                 0.9762,                0.68072,                  1.063,                0.52178,                0.98845,              0.0087625,              0.0087625,              0.0087625
                    128,                0.96082,                0.53092,                0.93415,                 0.9518,                 0.9042,                0.97278,                0.67358,                 1.0771,                0.52967,                0.98417,              0.0087526,              0.0087526,              0.0087526
                    129,                0.97552,                0.52858,                0.92752,                0.94158,                0.94465,                0.98005,                0.67565,                 1.0749,                0.52324,                0.98067,              0.0087427,              0.0087427,              0.0087427
                    130,                0.97155,                0.54142,                0.93365,                0.95318,                0.93209,                0.97446,                0.67489,                  1.091,                0.52635,                0.98274,              0.0087328,              0.0087328,              0.0087328
                    131,                0.96055,                 0.5242,                0.92245,                0.96668,                0.90329,                0.97241,                0.66971,                 1.0703,                 0.5385,                0.98505,              0.0087229,              0.0087229,              0.0087229
                    132,                0.95741,                0.52654,                0.92889,                0.96755,                0.94139,                0.98245,                0.68736,                 1.0459,                0.51949,                0.97382,               0.008713,               0.008713,               0.008713
                    133,                0.99106,                0.54726,                0.94335,                0.96395,                 0.9305,                0.97579,                0.69828,                 1.0306,                0.51175,                0.97865,              0.0087031,              0.0087031,              0.0087031
